sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
6227,783,944,1112,1218,1434,1579,1656,1693,1896,1842, sehar
6228,742,954,1100,1218,1434,1579,1678,1693,1896,1842, sehar
6229,709,930,1028,1122,1561,1763,1908,1816,1631,1414, sehar
6230,678,843,901,1122,1561,1763,1570,1816,1631,1414, sehar
6231,677,857,891,909,1916,2377,2343,2594,1629,1260, sehar
6232,539,720,706,909,2201,2921,2888,2971,1390,891, sehar
6233,732,841,936,1125,1320,1538,1558,1584,1764,1689, sehar
6234,727,886,988,1122,1736,2004,1982,2124,1575,1323, sehar
6235,725,908,963,1098,1487,1710,1859,1711,1653,1516, sehar
6236,677,857,891,909,1916,2377,2343,2594,1629,1260, sehar
6237,709,930,1028,1122,1561,1763,1908,1816,1631,1414, sehar
6238,709,930,1028,1122,1561,1763,1908,1816,1631,1414, sehar
6239,677,857,891,909,1916,2377,2343,2594,1629,1260, sehar
6240,742,954,1100,1218,1434,1579,1678,1693,1896,1842, sehar
6241,742,890,1013,1253,1583,1852,1604,1875,1935,1759, sehar
6242,677,857,891,909,1916,2377,2343,2594,1629,1260, sehar
6243,741,871,962,1109,1581,1764,2066,1831,1691,1453, sehar
6244,621,815,836,909,1916,2377,2489,2594,1629,1260, sehar
6245,682,851,957,1109,1581,1764,1570,1831,1691,1453, sehar
6246,786,990,1176,1253,1583,1852,1954,1875,1935,1759, sehar
6247,719,895,940,1122,1736,2004,2250,2124,1575,1323, sehar
6248,713,908,973,1122,1736,2004,1946,2124,1575,1323, sehar
6249,859,1066,1258,1288,1589,1711,1884,1780,1975,1876, sehar
6250,709,915,1004,1125,1320,1538,1580,1584,1764,1689, sehar
6251,713,908,973,1122,1736,2004,1946,2124,1575,1323, sehar
6252,672,836,919,1098,1487,1710,1502,1711,1653,1516, sehar
6253,776,915,1024,1288,1589,1711,1642,1780,1975,1876, sehar
6254,725,908,963,1098,1487,1710,1859,1711,1653,1516, sehar
6255,566,752,706,909,2201,2921,2875,2971,1390,891, sehar
6256,725,908,963,1098,1487,1710,1859,1711,1653,1516, sehar
6257,719,882,954,1098,1487,1710,1854,1711,1653,1516, sehar
6258,709,915,1004,1125,1320,1538,1580,1584,1764,1689, sehar
